Day,Date,Format,Working_Title,Pillar,Status,Rights_Status,Notes
1,2026-07-16,Long,What Is an AI Partner?,Client education,Idea,Unconfirmed - script drafted awaiting Founder review and rights confirmation,Founder-ordered main video 1 (75-90 seconds) - production package SYS-VID-001
2,2026-07-17,Short,An AI Partner Is More Than a Chatbot,Client education,Idea,Unconfirmed - script drafted awaiting Founder review and rights confirmation,Founder-ordered Short 1 - production package SYS-SRT-001
3,2026-07-18,Long,I Run My Company on an AI Operating System - Full Tour,Founder journey,Idea,Unconfirmed,Foundation video moved to day 3 by Founder order of 2026-07-15
3,2026-07-18,Short,Your business doesn't need more apps. It needs a system.,Business systems,Idea,Unconfirmed,Moved from day 2
4,2026-07-19,Long,AI Agents Explained for Business Owners (No Code No Hype),Client education,Idea,Unconfirmed,Foundation video 2
5,2026-07-20,Short,Here are 3 tasks you should hand to AI today.,AI Partner demos,Idea,Unconfirmed,
7,2026-07-22,Long,3 AI 'Employees' Any Small Business Can Set Up This Week,AI Partner demos,Idea,Unconfirmed,Foundation video 3
8,2026-07-23,Short,AI drafts. You decide. That's the whole rule.,Business systems,Idea,Unconfirmed,
10,2026-07-25,Long,Watch AI Write My Weekly Business Report (Live Demo),AI Partner demos,Idea,Unconfirmed,Fictional data only
11,2026-07-26,Short,What is an AI Partner? Not a chatbot.,Client education,Idea,Unconfirmed,
13,2026-07-28,Long,Why AI Should Draft and Humans Should Decide,Business systems,Idea,Unconfirmed,
14,2026-07-29,Short,One CSV file can run your weekly reporting.,AI Partner demos,Idea,Unconfirmed,
16,2026-07-31,Long,Automating Office Work: Excel Trackers and Word Reports with AI,AI Partner demos,Idea,Unconfirmed,Office Toolbelt demo
17,2026-08-01,Short,The #1 AI mistake small businesses make.,Client education,Idea,Unconfirmed,
19,2026-08-03,Long,How I Organize an Entire Company in Plain Files,Business systems,Idea,Unconfirmed,
20,2026-08-04,Short,Meeting notes to action list in 60 seconds.,AI Partner demos,Idea,Unconfirmed,
22,2026-08-06,Long,What a $450 AI Starter Pack Actually Gets You,Client education,Idea,Unconfirmed,Scope honesty per CDP-001
23,2026-08-07,Short,Why my AI never gets my passwords.,Client education,Idea,Unconfirmed,
25,2026-08-09,Long,Building a Client Intake Workflow with 3 AI Partners,AI Partner demos,Idea,Unconfirmed,Fictional client only
26,2026-08-10,Short,Managed AI vs your own AI account - 30-second honest answer.,Client education,Idea,Unconfirmed,
28,2026-08-12,Long,From CSV to CEO Dashboard: Small Business Reporting with AI,Business systems,Idea,Unconfirmed,
29,2026-08-13,Short,A normal Tuesday in an AI-operated office.,Founder journey,Idea,Unconfirmed,
